agent,avg,date,feature,floor,guapai,info,price,title
,23893,2019.07.04,挂牌268万成交周期270天,高楼层(共12层) 2016年建板楼,,东 南 北 | 毛坯,261万,泰晤士印象 3室1厅 109.24平米
王宗英,35040,2019.07.04,房屋满两年,顶层(共6层) 2003年建板楼,挂牌318万成交周期131天,南 北 | 简装,306万,自然佳境 2室1厅 87.33平米
李中旭,42614,2019.07.04,房屋满两年,高楼层(共18层) 2007年建板塔结合,挂牌415万成交周期136天,南 | 精装,405万,博客园 2室1厅 95.04平米
王晓坡,42722,2019.07.04,房屋满五年,低楼层(共11层) 2006年建板塔结合,挂牌265万成交周期115天,东 西 | 简装,257万,乔庄东区 1室1厅 60.04平米
赵玉文,44364,2019.07.04,房屋满五年近地铁,中楼层(共7层) 2002年建板楼,挂牌439万成交周期45天,南 北 | 精装,425万,翠屏北里西区 2室1厅 95.8平米
黄国伟,41078,2019.07.04,房屋满五年近地铁,底层(共6层) 1995年建板楼,挂牌390万成交周期68天,南 北 | 精装,375万,云景里 2室1厅 91.29平米
耿丽涛,43437,2019.07.03,近地铁,中楼层(共6层) 2016年建暂无数据,挂牌1360万成交周期494天,南 北 | 毛坯,1320万,78墅 4室2厅 303.89平米
谢大超,38370,2019.07.03,房屋满五年,中楼层(共6层) 2000年建板楼,挂牌420万成交周期273天,南 北 | 精装,400万,华龙小区 2室2厅 104.25平米
李永祥,60309,2019.06.16,房屋满五年,中楼层(共6层) 2005年建板楼,挂牌620万成交周期69天,南 北 | 精装,595万,BOBO自由城 2室2厅 98.66平米
易世建,46241,2019.06.30,房屋满五年近地铁,高楼层(共24层) 2005年建塔楼,挂牌423万成交周期118天,东 | 简装,412万,通典铭居 2室2厅 89.1平米
王延升,42285,2019.06.30,房屋满五年,中楼层(共28层) 2011年建板塔结合,挂牌376万成交周期112天,南 北 | 精装,368万,金隅通和园 2室1厅 87.03平米
,27123,2019.06.30,挂牌252万成交周期349天,中楼层(共8层) 2016年建板楼,,南 北 | 精装,239万,首开缇香郡 3室1厅 88.12平米
李宗欣,48528,2019.06.30,房屋满两年,底层(共6层) 2000年建板楼,挂牌310万成交周期18天,南 北 | 精装,290万,水仙园 1室1厅 59.76平米
安丽娜,45528,2019.06.30,房屋满五年,高楼层(共6层) 1974年建板楼,挂牌320万成交周期3天,南 北 | 简装,282万,新华东街 2室1厅 61.94平米
何强,42554,2019.06.30,房屋满五年,低楼层(共12层) 2005年建板塔结合,挂牌265万成交周期226天,南 | 精装,248万,月亮城堡 1室1厅 58.28平米
赵玉文,41797,2019.06.30,房屋满五年,中楼层(共5层) 板楼,挂牌230万成交周期12天,南 | 精装,220万,西营后街 2室1厅 52.54平米
张书华,40343,2019.06.30,房屋满五年,低楼层(共15层) 2008年建板塔结合,挂牌370万成交周期15天,南 | 简装,363万,大方居 2室1厅 89.98平米
杨晓晗,27466,2019.06.30,房屋满五年,高楼层(共20层) 2009年建板塔结合,挂牌225万成交周期36天,南 北 | 精装,210万,东亚瑞晶苑 2室1厅 76.46平米
安会会,49107,2019.06.30,房屋满五年近地铁,中楼层(共24层) 2006年建塔楼,挂牌254万成交周期73天,北 | 简装,250万,鼎晟国际 1室0厅 50.91平米
赵东升,41519,2019.06.30,房屋满五年近地铁,高楼层(共19层) 2007年建塔楼,挂牌325万成交周期28天,北 | 精装,315万,时尚街区东区 2室1厅 75.87平米
王晓坡,41775,2019.06.30,房屋满五年,顶层(共6层) 2002年建板楼,挂牌227万成交周期8天,南 北 | 简装,225万,西营前街 1室1厅 53.86平米
赵海瑞,34041,2019.06.30,房屋满五年,中楼层(共19层) 2009年建板塔结合,挂牌310万成交周期15天,东南 北 | 精装,300万,东亚瑞晶苑 3室1厅 88.13平米
陈秋宇,40692,2019.06.26,房屋满两年,底层(共20层) 2015年建板楼,挂牌365万成交周期314天,东 南 | 精装,343万,富力尚悦居 2室1厅 84.17平米
王帅,55186,2019.06.26,房屋满五年近地铁,中楼层(共28层) 2010年建板塔结合,挂牌340万成交周期38天,南 | 其他,315万,华业东方玫瑰A区 1室1厅 57.08平米
康莉琼,40491,2019.06.25,房屋满两年,底层(共10层) 2010年建板塔结合,挂牌395万成交周期121天,南 北 | 精装,380万,珠江拉维小镇 2室1厅 93.85平米
魏康,51954,2019.06.25,房屋满五年,低楼层(共11层) 2004年建板楼,挂牌498万成交周期183天,南 北 | 精装,480万,加华印象街 2室1厅 92.39平米
王建刚,46596,2019.06.25,房屋满五年,底层(共6层) 1999年建板楼,挂牌390万成交周期71天,南 北 | 简装,375万,新华小区 2室2厅 80.48平米
巫延龙,41840,2019.06.25,房屋满五年,顶层(共6层) 2003年建板楼,挂牌570万成交周期390天,南 北 | 简装,535万,紫荆园 3室2厅 127.87平米
秦宝周,49831,2019.06.25,房屋满五年,低楼层(共27层) 2010年建塔楼,挂牌480万成交周期100天,东南 | 简装,455万,海棠湾一期 2室1厅 91.31平米
关维,47594,2019.06.25,房屋满两年近地铁,中楼层(共27层) 2012年建板楼,挂牌459万成交周期123天,东 西 | 简装,445万,华业东方玫瑰D区 2室1厅 93.5平米
张亚静,51779,2019.06.24,房屋满五年,中楼层(共6层) 2003年建板楼,挂牌650万成交周期206天,南 北 | 精装,636万,紫荆园 3室2厅 122.83平米
,47312,2019.06.24,挂牌296万成交周期29天,中楼层(共6层) 1991年建板楼,,南 北 | 精装,286万,玉桥北里 2室1厅 60.45平米
刘继龙,48480,2019.06.24,房屋满五年,低楼层(共6层) 2000年建板楼,挂牌468万成交周期33天,南 北 | 简装,455万,水仙园 2室1厅 93.75平米
铁磊,38422,2019.06.24,房屋满五年,高楼层(共6层) 2002年建板楼,挂牌470万成交周期45天,东 南 北 | 简装,448万,云景里南大门 3室2厅 116.6平米
汤明月,44036,2019.06.24,房屋满五年近地铁,底层(共7层) 1999年建板楼,挂牌350万成交周期174天,东 南 北 | 简装,340万,翠屏里 3室1厅 77.21平米
,56874,2019.06.23,挂牌530万成交周期45天,中楼层(共9层) 2017年建板楼,,南 北 | 精装,518万,泰禾一号公馆 3室1厅 91.08平米
许亚攀,48554,2019.06.23,房屋满两年近地铁,底层(共5层) 2005年建板楼,挂牌450万成交周期357天,南 北 | 简装,433万,DBC加州小镇 2室1厅 89.18平米
姚晓东,50392,2019.06.23,房屋满五年,底层(共6层) 2009年建板楼,挂牌455万成交周期44天,南 北 | 其他,444万,阿尔法社区二期 2室1厅 88.07平米
